Code,Area,% with NVQ4+ - aged 16-64,Unnamed: 3,Unnamed: 4,Unnamed: 5,% with NVQ3 only - aged 16-64,Unnamed: 7,Unnamed: 8,Unnamed: 9,% with Trade Apprenticeships - aged 16-64,Unnamed: 11,Unnamed: 12,Unnamed: 13,% with NVQ2 only - aged 16-64,Unnamed: 15,Unnamed: 16,Unnamed: 17,% with NVQ1 only - aged 16-64,Unnamed: 19,Unnamed: 20,Unnamed: 21,% with other qualifications - aged 16-64,Unnamed: 23,Unnamed: 24,Unnamed: 25,% with no qualifications - aged 16-64,Unnamed: 27,Unnamed: 28,Unnamed: 29
,,number,denominator,percent,confidence,number,denominator,percent,confidence,number,denominator,percent,confidence,number,denominator,percent,confidence,number,denominator,percent,confidence,number,denominator,percent,confidence,number,denominator,percent,confidence
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000001,City of London,5300,6100,86.6,*,!,6100,!,!,!,6100,!,!,!,6100,!,!,!,6100,!,!,!,6100,!,!,!,6100,!,!
E09000002,Barking and Dagenham,43500,131100,33.2,3.9,17400,131100,13.3,2.8,1400,131100,1.1,*,21100,131100,16.1,3,14000,131100,10.7,2.6,14300,131100,10.9,2.6,19400,131100,14.8,2.9
E09000003,Barnet,139100,249800,55.7,4.4,30500,249800,12.2,2.9,1400,249800,0.6,*,28800,249800,11.5,2.8,20100,249800,8.1,2.4,15900,249800,6.3,2.2,14000,249800,5.6,2
E09000004,Bexley,57000,155400,36.7,4.4,29100,155400,18.8,3.6,4900,155400,3.2,1.6,26900,155400,17.3,3.4,19500,155400,12.5,3,7500,155400,4.8,2,10500,155400,6.8,2.3
E09000005,Brent,97500,217900,44.8,3.9,32000,217900,14.7,2.8,!,217900,!,!,26600,217900,12.2,2.5,20400,217900,9.4,2.3,27100,217900,12.4,2.6,13700,217900,6.3,1.9
E09000006,Bromley,98800,201900,48.9,4.3,31500,201900,15.6,3.2,6000,201900,3,1.5,23900,201900,11.8,2.8,20300,201900,10,2.6,14200,201900,7.1,2.2,7200,201900,3.6,1.6
E09000007,Camden,101400,172800,58.7,4.3,22100,172800,12.8,2.9,2500,172800,1.5,*,12200,172800,7.1,2.2,9000,172800,5.2,1.9,13300,172800,7.7,2.3,12200,172800,7.1,2.2
E09000008,Croydon,117300,245100,47.8,4.1,34900,245100,14.2,2.9,3500,245100,1.4,*,33300,245100,13.6,2.8,18900,245100,7.7,2.2,21700,245100,8.8,2.4,15600,245100,6.4,2
E09000009,Ealing,125400,224300,55.9,4.2,29300,224300,13.1,2.9,2300,224300,1,*,14600,224300,6.5,2.1,22600,224300,10.1,2.6,16100,224300,7.2,2.2,14000,224300,6.2,2.1
E09000010,Enfield,87600,211300,41.4,4.5,31800,211300,15,3.2,4200,211300,2,*,35000,211300,16.6,3.4,19800,211300,9.4,2.6,16300,211300,7.7,2.4,16600,211300,7.9,2.4
E09000011,Greenwich,84600,184400,45.9,4.7,28000,184400,15.2,3.4,1800,184400,1,*,26000,184400,14.1,3.3,15400,184400,8.4,2.6,17000,184400,9.2,2.7,11500,184400,6.3,2.3
E09000012,Hackney,107400,196700,54.6,4.1,19500,196700,9.9,2.5,1300,196700,0.7,*,18700,196700,9.5,2.4,17700,196700,9,2.4,15700,196700,8,2.2,16300,196700,8.3,2.3
E09000013,Hammersmith and Fulham,78800,130200,60.6,4.5,21300,130200,16.4,3.4,800,130200,0.6,*,7000,130200,5.4,2.1,6300,130200,4.8,2,7400,130200,5.7,2.1,8500,130200,6.6,2.3
E09000014,Haringey,100300,191900,52.3,4,24600,191900,12.8,2.7,1500,191900,0.8,*,13900,191900,7.2,2.1,11200,191900,5.8,1.9,23500,191900,12.3,2.6,16800,191900,8.8,2.3
E09000015,Harrow,70500,157900,44.6,4.5,35900,157900,22.7,3.8,2900,157900,1.8,*,17200,157900,10.9,2.8,8900,157900,5.7,2.1,18100,157900,11.5,2.9,4400,157900,2.8,1.5
E09000016,Havering,44300,158600,27.9,4.2,26600,158600,16.8,3.5,5400,158600,3.4,1.7,31100,158600,19.6,3.7,27800,158600,17.5,3.6,10600,158600,6.7,2.3,12800,158600,8.1,2.6
E09000017,Hillingdon,86200,193900,44.4,4.6,25200,193900,13,3.1,4600,193900,2.4,1.4,30000,193900,15.5,3.3,19400,193900,10,2.8,17700,193900,9.1,2.6,10800,193900,5.5,2.1
E09000018,Hounslow,88700,178300,49.8,5,21500,178300,12.1,3.2,2700,178300,1.5,*,19200,178300,10.8,3.1,12700,178300,7.1,2.6,21300,178300,11.9,3.2,12200,178300,6.8,2.5
E09000019,Islington,99600,172500,57.8,4.4,20200,172500,11.7,2.8,900,172500,0.5,*,14700,172500,8.5,2.5,12100,172500,7,2.3,9900,172500,5.7,2.1,15100,172500,8.8,2.5
E09000020,Kensington and Chelsea,66700,107700,62,4.3,13300,107700,12.3,2.9,500,107700,0.5,*,8400,107700,7.8,2.4,6400,107700,5.9,2.1,6800,107700,6.3,2.1,5600,107700,5.2,2
