Local Authority District code (2019),Local Authority District name (2019),Income - Average rank,Income - Rank of average rank,Income - Average score,Income - Rank of average score,Income - Proportion of LSOAs in most deprived 10% nationally,Income - Rank of Proportion of LSOAs in most deprived 10% nationally,Income - Scale,Income - Rank of scale,Unnamed: 10,Employment - Average rank,Employment - Rank of average rank,Employment - Average score,Employment - Rank of average score,Employment - Proportion of LSOAs in most deprived 10% nationally,Employment - Rank of proportion of LSOAs in most deprived 10% nationally,Employment - Scale,Employment - Rank of scale,Unnamed: 19,"Education, Skills and Training - Average rank","Education, Skills and Training - Rank of average rank","Education, Skills and Training - Average score","Education, Skills and Training - Rank of average score","Education, Skills and Training - Proportion of LSOAs in most deprived 10% nationally","Education, Skills and Training - Rank of proportion of LSOAs in most deprived 10% nationally",Unnamed: 26,Health Deprivation and Disability - Average rank,Health Deprivation and Disability - Rank of average rank,Health Deprivation and Disability - Average score,Health Deprivation and Disability - Rank of average score,Health Deprivation and Disability - Proportion of LSOAs in most deprived 10% nationally,Health Deprivation and Disability - Rank of proportion of LSOAs in most deprived 10% nationally,Unnamed: 33,Crime - Average rank,Crime - Rank of average rank,Crime - Average score,Crime - Rank of average score,Crime - Proportion of LSOAs in most deprived 10% nationally,Crime - Rank of proportion of LSOAs in most deprived 10% nationally,Unnamed: 40,Barriers to Housing and Services - Average rank,Barriers to Housing and Services - Rank of average rank,Barriers to Housing and Services - Average score,Barriers to Housing and Services - Rank of average score,Barriers to Housing and Services - Proportion of LSOAs in most deprived 10% nationally,Barriers to Housing and Services - Rank of proportion of LSOAs in most deprived 10% nationally,Unnamed: 47,Living Environment - Average rank,Living Environment - Rank of average rank,Living Environment - Average score,Living Environment - Rank of average score,Living Environment - Proportion of LSOAs in most deprived 10% nationally,Living Environment - Rank of proportion of LSOAs in most deprived 10% nationally
E09000001,City of London,8079.96,292,0.065,280,0.0,201,431,316,,8325.25,286,0.052,286,0.0,209,218.5,316,,5270.42,314,5.457,314,0.0,243,,8758.28,247,-0.686,254,0.0,173,,1234.77,317,-1.656,317,0.0,201,,28055.83,10,35.656,10,0.6667,5,,26411.2,10,38.972,13,0.3333,22
E09000002,Barking and Dagenham,25142.65,4,0.194,20,0.0455,136,39254,51,,21951.08,43,0.117,70,0.0,209,14074.75,73,,21696.36,44,25.513,101,0.0,243,,19499.67,94,0.204,96,0.0091,162,,23668.31,21,0.542,28,0.1455,55,,31669.68,2,46.252,2,0.9364,3,,23068.52,41,29.103,52,0.0364,165
E09000003,Barnet,16104.14,137,0.111,149,0.0142,185,41746,45,,13169.08,201,0.073,205,0.0,209,16661.0,57,,7894.57,302,7.83,302,0.0,243,,5011.83,297,-1.074,298,0.0,173,,17479.54,111,0.082,113,0.0237,168,,25355.61,20,31.211,21,0.2038,42,,20275.3,71,24.662,91,0.0237,191
E09000004,Bexley,14732.31,171,0.106,170,0.0068,198,25467,95,,13522.24,194,0.077,193,0.0068,203,10756.0,98,,16899.32,140,18.331,175,0.0068,241,,9446.18,228,-0.561,230,0.0,173,,14596.54,165,-0.13,156,0.0205,172,,20691.02,58,25.879,61,0.1164,101,,16997.02,123,19.754,144,0.0,251
E09000005,Brent,21445.28,38,0.155,65,0.0867,92,50137,27,,17690.55,110,0.097,122,0.0462,132,19894.75,42,,14477.31,199,15.223,225,0.0,243,,10642.83,210,-0.453,207,0.0,173,,21996.41,45,0.428,49,0.1156,68,,30661.44,4,42.783,3,0.7746,4,,22811.33,46,28.694,54,0.0289,180
E09000006,Bromley,12232.82,219,0.091,207,0.0457,135,29540,82,,11414.44,231,0.068,224,0.0051,208,12757.5,82,,9841.18,281,10.551,277,0.0,243,,6522.48,275,-0.908,280,0.0,173,,15906.4,132,-0.038,132,0.0558,121,,22995.08,32,27.839,40,0.1015,112,,15732.96,140,18.37,166,0.0,251
E09000007,Camden,18655.58,87,0.141,90,0.0827,97,34330,63,,15925.88,151,0.091,148,0.0075,199,14945.5,66,,10337.67,274,10.523,279,0.0,243,,10894.25,207,-0.556,227,0.0,173,,20400.7,70,0.325,69,0.1128,72,,17780.12,132,21.611,152,0.0,250,,24878.54,22,33.469,35,0.1429,66
E09000008,Croydon,18584.17,89,0.136,97,0.0636,115,51702,26,,16769.54,128,0.092,143,0.0091,195,20961.25,32,,14304.06,203,15.577,220,0.0136,224,,14352.64,165,-0.174,165,0.0045,172,,20068.76,74,0.28,74,0.0545,122,,27123.37,15,33.996,14,0.3773,14,,20381.04,69,26.027,77,0.0636,130
E09000009,Ealing,19531.3,63,0.14,94,0.0663,114,48235,34,,16590.67,136,0.091,146,0.0204,161,19506.75,43,,12144.39,246,12.546,253,0.0,243,,12374.12,189,-0.326,189,0.0,173,,19489.68,80,0.239,79,0.0765,99,,28039.43,11,36.52,6,0.4592,9,,23725.05,34,30.34,46,0.0408,161
E09000010,Enfield,21937.49,30,0.171,41,0.1311,65,56010,17,,18498.48,92,0.102,104,0.0164,176,20119.5,40,,16856.02,141,20.255,145,0.0055,242,,9915.35,221,-0.535,222,0.0,173,,19084.38,84,0.199,89,0.0383,147,,29478.86,5,39.666,5,0.6066,6,,21993.3,53,27.479,65,0.0273,182
