Local Authority District code (2019),Local Authority District name (2019),IMD - Average rank ,IMD - Rank of average rank ,IMD - Average score ,IMD - Rank of average score ,IMD - Proportion of LSOAs in most deprived 10% nationally ,IMD - Rank of proportion of LSOAs in most deprived 10% nationally ,IMD 2019 - Extent ,IMD 2019 - Rank of extent ,IMD 2019 - Local concentration ,IMD 2019 - Rank of local concentration 
E09000001,City of London,12420.52,208,14.72,212,0.0,195,0.0322,220,24167.0,236
E09000002,Barking and Dagenham,25551.85,5,32.768,21,0.0364,139,0.4724,20,29391.87,125
E09000003,Barnet,13803.35,184,16.148,190,0.0047,193,0.0523,194,26151.4,196
E09000004,Bexley,13529.71,190,16.273,187,0.0,195,0.0755,175,27051.79,179
E09000005,Brent,21083.02,49,25.558,79,0.0578,116,0.2074,101,29908.65,114
E09000006,Bromley,11297.45,230,14.163,223,0.0051,192,0.0734,176,27626.58,170
E09000007,Camden,16763.28,132,20.131,138,0.0,195,0.1379,139,27872.9,167
E09000008,Croydon,18371.23,102,22.477,108,0.0227,157,0.1897,109,29186.8,133
E09000009,Ealing,18991.69,88,22.71,105,0.0204,163,0.163,127,28827.66,143
E09000010,Enfield,20418.65,59,25.781,74,0.0546,119,0.2942,61,29748.46,116
E09000011,Greenwich,20383.77,60,24.464,88,0.0066,191,0.2017,105,28579.85,151
E09000012,Hackney,25312.57,7,32.526,22,0.1111,78,0.4319,25,30187.74,107
E09000013,Hammersmith and Fulham,18643.47,96,22.27,112,0.0088,185,0.1644,124,28576.65,152
E09000014,Haringey,21887.62,37,27.956,49,0.0966,84,0.321,52,30429.89,97
E09000015,Harrow,13071.33,199,15.031,207,0.0,195,0.0268,231,24571.68,227
E09000016,Havering,14036.0,179,16.789,180,0.0067,190,0.0814,171,27349.32,174
E09000017,Hillingdon,15515.03,151,18.223,159,0.0,195,0.0692,181,26225.86,194
E09000018,Hounslow,18652.53,95,21.487,122,0.007,189,0.089,166,27292.93,177
E09000019,Islington,22490.24,28,27.535,53,0.0488,126,0.2705,74,29301.65,126
E09000020,Kensington and Chelsea,17177.54,122,21.526,121,0.0874,91,0.1985,106,30007.35,112
E09000021,Kingston upon Thames,9412.29,270,11.381,273,0.0,195,0.0122,262,20278.67,285
E09000022,Lambeth,21351.38,42,25.422,81,0.0,195,0.1949,108,28390.91,156
E09000023,Lewisham,21959.25,35,26.661,63,0.0296,148,0.2464,84,28994.08,136
E09000024,Merton,12224.63,214,14.649,213,0.0,195,0.0389,214,25452.04,209
E09000025,Newham,24138.7,12,29.577,43,0.0244,154,0.2884,67,28987.07,137
E09000026,Redbridge,15082.62,160,17.203,173,0.0,195,0.0405,207,25538.12,207
E09000027,Richmond upon Thames,7159.19,297,9.425,295,0.0,195,0.0076,273,20998.48,275
E09000028,Southwark,21247.36,43,25.811,72,0.0301,147,0.2305,91,28758.95,145
E09000029,Sutton,11415.25,227,13.987,226,0.0083,188,0.0582,186,26617.95,186
E09000030,Tower Hamlets,22507.05,27,27.913,50,0.0139,175,0.3057,57,29011.42,134
E09000031,Waltham Forest,21186.64,45,25.209,82,0.0208,162,0.1783,115,28906.69,141
E09000032,Wandsworth,14312.18,173,16.611,183,0.0,195,0.0495,199,25999.84,198
E09000033,Westminster,16573.82,134,20.339,137,0.0234,155,0.1587,131,29203.12,132
