Code,Area,2002,Unnamed: 3,2003,Unnamed: 5,2004,Unnamed: 7,2005,Unnamed: 9,2006,Unnamed: 11,2007,Unnamed: 13,2008,Unnamed: 15,2009,Unnamed: 17,2010,Unnamed: 19,2011,Unnamed: 21,2012,Unnamed: 23,2013,Unnamed: 25,2014,Unnamed: 27,2015,Unnamed: 29,2016,Unnamed: 31,2017,Unnamed: 33,2018,Unnamed: 35,2019,Unnamed: 37,2020,Unnamed: 39,2021,Unnamed: 41,2022,Unnamed: 43,2023,Unnamed: 45,2024,Unnamed: 47
,,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AA,City of London,!,!,!,!,#,#,#,#,#,#,#,#,#,#,20.45,18,#,#,#,#,#,#,#,#,#,#,#,#,25.54,20,#,#,27.34,20,#,#,#,#,#,#,25.89,20,#,#,#,#
00AB,Barking and Dagenham,10.16,4.8,9.55,5,9.61,4.3,9.99,4.4,10.65,4.8,11.28,6,11.44,5,12.26,5,11.58,4.7,11.75,4.4,11.98,4.6,11.84,3.6,11.88,4.3,11.89,4,11.95,5,11.97,4.8,12.52,5,12.88,5.5,12.94,6.3,14.26,5.4,15.18,4.9,15.79,4.5,16.89,3.6
00AC,Barnet,11.9,5.4,12.79,5.2,12.76,5.5,12.77,5.5,12.98,5.2,12.78,5.1,13.76,4.7,14.83,4.8,14.6,5.5,15.18,4.1,14.72,4.8,14.95,4,14.45,4.1,14.37,4.7,14.61,3.9,15.75,5,15.61,4.3,16,4.5,15.84,5.6,17.09,5,17.54,4.5,18.49,4.1,20.49,3.7
00AD,Bexley,10.57,4.3,11.39,3.7,11.37,4.6,11.96,4.2,11.57,4.7,12.37,5.5,13.23,5.5,13.34,4.2,13.6,3.8,13.82,4.4,13.99,4.2,13.86,4,13.69,4.1,13.72,3.9,14.55,4.2,14.64,3.8,14.66,4.8,15.84,3.8,16.38,6.9,16.99,5.2,19.14,5.4,19.06,4.3,20.13,3.8
00AE,Brent,9.77,5.6,9.19,4,10.4,5.4,10.74,4.4,10.76,4.7,11.08,3.9,11.61,4.5,11.73,3.5,11.22,4.3,11.01,4.6,11.94,4.4,11.85,5.1,12.16,5.2,12.05,4.7,12.48,3.5,12.41,3.9,13.11,4.3,14.21,4.1,14.91,5.5,15.14,4.2,14.98,4.9,17.31,3.9,17.43,4.4
00AF,Bromley,12.47,4.9,12.91,5.4,12.76,4.9,12.98,4.7,13.84,4.3,14.82,4.7,15.45,4.4,15.94,3.9,15.35,4.3,15.4,3.7,16.28,3.6,16.48,3.8,16.41,4.3,16.44,3.5,17.25,3.3,17.23,4.8,17.77,3.3,18.41,4.8,19.92,5.7,18.99,5.1,20.44,4.1,21.82,5,23.3,4.1
00AG,Camden,13.21,5.9,13.44,4.9,13.59,4.3,14.97,4.5,15.24,4.2,16.43,4.6,17.24,5.7,17.2,5.6,16.36,4.3,17.01,5.1,17.23,5.1,17.96,4.4,17.93,4.7,16.93,6.2,18.05,5.3,17.72,4.8,18.18,5.2,19.17,4.7,18.8,6.8,19.62,5.3,18.97,5.4,20.28,6.7,21.78,4.7
00AH,Croydon,10.48,4.7,10.9,3.9,11.02,4.9,11.56,4.8,11.73,3.8,12.09,4,12.81,4.1,13.45,3,13.61,3.4,13.02,3.2,13.65,3.1,13.49,3.2,13.73,2.9,13.65,3.1,14.22,3.6,14.79,4.3,14.87,3.2,15.51,3.4,15.6,5.5,16.88,4.4,18.21,4.7,18.71,3.4,20.1,3
